id,sire,dam,dam.pop,sire.pop
222,1222,961,tc,tc
223,1223,931,da,da
224,1224,919,fp,fp
225,1225,930,mt,mt
226,1226,932,da,da
227,1227,929,mt,mt
228,1228,938,da,da
229,1229,952,ml,ml
230,1230,960,ml,ml
231,1231,959,ml,ml
232,1232,906,tz,tz
233,1233,932,da,da
234,1234,934,da,da
235,1235,970,tc,tc
236,1236,902,tz,tz
237,1237,973,tx,tx
238,1238,967,tc,tc
239,1239,946,mc,mc
240,1240,988,cl,cl
241,1241,924,mt,mt
242,1242,937,da,da
243,1243,943,mc,mc
244,1244,960,ml,ml
245,1245,986,cl,cl
246,1246,987,cl,cl
247,1247,985,cl,cl
248,1248,950,mc,mc
249,1249,985,cl,cl
250,1250,906,tz,tz
251,1251,961,tc,tc
252,1252,972,tx,tx
253,1253,925,mt,mt
254,1254,929,mt,mt
255,1255,973,tx,tx
256,1256,952,ml,ml
257,1257,977,tx,tx
258,1258,983,cl,cl
259,1259,975,tx,tx
260,1260,919,fp,fp
261,1261,935,da,da
262,1262,945,mc,mc
263,1263,918,fp,fp
264,1264,911,fp,fp
265,1265,987,cl,cl
266,1266,967,tc,tc
267,1267,923,mt,mt
268,1268,910,tz,tz
269,1269,946,mc,mc
270,1270,960,ml,ml
271,1271,942,mc,mc
272,1272,939,da,da
273,1273,936,da,da
274,1274,985,cl,cl
275,1275,973,tx,tx
276,1276,969,tc,tc
277,1277,973,tx,tx
278,1278,924,mt,mt
279,1279,995,cu,cu
280,1280,933,da,da
281,1281,974,tx,tx
282,1282,934,da,da
283,1283,955,ml,ml
284,1284,912,fp,fp
285,1285,922,mt,mt
286,1286,991,cu,cu
287,1287,910,tz,tz
288,1288,988,cl,cl
289,1289,992,cu,cu
290,1290,974,tx,tx
291,1291,971,tx,tx
292,1292,933,da,da
293,1293,924,mt,mt
294,1294,917,fp,fp
295,1295,903,tz,tz
296,1296,984,cl,cl
297,1297,956,ml,ml
298,1298,910,tz,tz
299,1299,904,tz,tz
300,1300,923,mt,mt
301,1301,981,cl,cl
302,1302,944,mc,mc
303,1303,952,ml,ml
304,1304,994,cu,cu
305,1305,987,cl,cl
306,1306,970,tc,tc
307,1307,920,fp,fp
308,1308,908,tz,tz
309,1309,924,mt,mt
310,1310,963,tc,tc
311,1311,976,tx,tx
312,1312,984,cl,cl
313,1313,926,mt,mt
314,1314,901,tz,tz
315,1315,955,ml,ml
316,1316,915,fp,fp
317,1317,982,cl,cl
318,1318,902,tz,tz
319,1319,964,tc,tc
320,1320,939,da,da
321,1321,949,mc,mc
322,1322,962,tc,tc
